product_name;price;product_vat_rate;product_msr;product_characteristics;okpd2_code;okpd2_name;inn;country_code
Драм-юнит Cet CET8997;7605.00000000000;0%;Штука;"";28.23.25.000;Части и принадлежности прочих офисных машин;6a2325da490021b46bb00834ab4a560a;156
Лук репчатый;48.75000000000;Без НДС;Килограмм;Дополнительные показатели (характеристики): Указаны в прикрепленном файле Техническое задание || Товарный сорт: Первый || Лук очищенный: Нет;01.13.43.110;Лук репчатый;c8f328b188e78a1673db8cc2db1b6828;643
Карандаш механический (Страна происхождения : Китай);8.00000000000;20%;Штука;"";32.99.12.130;Карандаши механические;9d785973706feeff180ee96a247135e6;156
Имплантаты для остеосинтеза варианты исполнения: CHARFIX винт Товарный знакChM.;5200.00000000000;Без НДС;Штука;"";32.50.50.190;Изделия медицинские, в том числе хирургические, прочие, не включенные в другие группировки;5a35794bbd7c29420b25479364c26c7b;616
Говядина замороженная для детского питания;490.59000000000;Без НДС;Килограмм;"";10.11.31.130;Говядина и телятина замороженные для детского питания;91c23daf46d288344828eac627074bf3;643
Говядина замороженная для детского питания;494.19000000000;Без НДС;Килограмм;"";10.11.31.130;Говядина и телятина замороженные для детского питания;91c23daf46d288344828eac627074bf3;643
Пробирка вакуумная для взятия образцов крови ИВД, с натрия цитратом;12.26000000000;0%;Штука;"";32.50.13.190;Инструменты и приспособления, применяемые в медицинских целях, прочие, не включенные в другие группировки;1d146590d23b4cc3ed00c5e484d7ecd0;643
Вал переноса в сборе;6786.26000000000;Без НДС;Штука;"";33.12.16.000;Услуги п о ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования;24dbc88cf9909743bf3e2677dc98f654;643
Вал регистрации;13315.68000000000;Без НДС;Штука;"";33.12.16.000;Услуги п о ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования;24dbc88cf9909743bf3e2677dc98f654;643
Чистящий вал блока вплавления;7108.61000000000;Без НДС;Штука;"";33.12.16.000;Услуги п о ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования;24dbc88cf9909743bf3e2677dc98f654;643
Шаговый мотор PM:S2M:T15: в сборе;4220.95000000000;Без НДС;Штука;"";33.12.16.000;Услуги п о ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования;24dbc88cf9909743bf3e2677dc98f654;643
Шестерня блока переработки тонера;715.58000000000;Без НДС;Штука;"";33.12.16.000;Услуги п о ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования;24dbc88cf9909743bf3e2677dc98f654;643
Палец отделения;690.03000000000;Без НДС;Штука;"";33.12.16.000;Услуги п о ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования;24dbc88cf9909743bf3e2677dc98f654;643
Передний боковой ограничитель основной лоток;1665.10000000000;Без НДС;Штука;"";33.12.16.000;Услуги п о ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования;24dbc88cf9909743bf3e2677dc98f654;643
Датчик окончания бумаги;1245.89000000000;Без НДС;Штука;"";33.12.16.000;Услуги п о ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования;24dbc88cf9909743bf3e2677dc98f654;643
Сдвоенная шестерня - 17/44 зуба;728.73000000000;Без НДС;Штука;"";33.12.16.000;Услуги п о ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования;24dbc88cf9909743bf3e2677dc98f654;643
Шкив;1868.06000000000;Без НДС;Штука;"";33.12.16.000;Услуги п о ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования;24dbc88cf9909743bf3e2677dc98f654;643
Муфта с ограничением момента вращения;4269.89000000000;Без НДС;Штука;"";33.12.16.000;Услуги п о ремонту и техническому обслуживанию офисных машин и оборудования, кроме компьютеров и периферийного оборудования;24dbc88cf9909743bf3e2677dc98f654;643
Наконечник универсальный  для одноканальных пипеток 100*1000мкл;1848.00000000000;10%;Упаковка;"";32.50.13.190;Инструменты и приспособления, применяемые в медицинских целях, прочие, не включенные в другие группировки;11a5e849f8889748b4a40081733d5102;156|276|840
Штатив-рабочее место, пластиковый для микропробирок 1,5-2 мл на 80 гнезд;346.50000000000;10%;Упаковка;"";32.50.13.190;Инструменты и приспособления, применяемые в медицинских целях, прочие, не включенные в другие группировки;11a5e849f8889748b4a40081733d5102;840
Сахар белый свекловичный в твердом состоянии без вкусоароматических или красящих добавок 1кг;83.47000000000;0%;Килограмм;Вид сахара белого: Кусковой;10.81.12.110;Сахар белый свекловичный в твердом состоянии без вкусоароматических или красящих добавок;57b8be4adfba807c85a16ca2c2a33dd0;643
Носовой зажим для спирометрии;321.00000000000;Без НДС;Штука;"";26.60.12.140;Части и принадлежности электродиагностической аппаратуры и аппаратуры, основанной на использовании ультрафиолетового или инфракрасного излучения, предназначенной для применения в медицинских целях;e13850053407ab454ac1524cfcd97c22;643
Глазурь с ароматом ванили;580.00000000000;20%;Килограмм;"";10.89.19.290;Продукты пищевые прочие, не включенные в другие группировки;68b4fc1772fca92d964c576f3343d153;643
Колбаса (колбаска) сырокопченая мясная;1094.75000000000;20%;Килограмм;Тип колбасных изделий: Полусухая колбаса (колбаска) || Вид преобладающего мясного сырья: Говядина;10.13.14.413;Колбасы (колбаски) сырокопченые мясные;68b4fc1772fca92d964c576f3343d153;643
Горох шлифованный;47.03000000000;10%;Килограмм;Вид зерна: Колотое || Сорт, не ниже: Первый;01.11.75.110;Зерно гороха;68b4fc1772fca92d964c576f3343d153;643
Яблоки;31.82000000000;Без НДС;Килограмм;Товарный сорт, не ниже: Первый;01.24.10.000;Яблоки;7f879084279527109a0bdab41fc60773;643
Журнал Экология производства;1549.92000000000;Без НДС;Номер;"";58.14.19.000;Журналы печатные прочие и периодические издания;147b79503653dfd06794aa64fc34c4f6;643
Журнал Бухгалтерский учет;8615.19000000000;Без НДС;Номер;"";58.14.19.000;Журналы печатные прочие и периодические издания;147b79503653dfd06794aa64fc34c4f6;643
Журнал Вопросы культурологии;1797.66000000000;Без НДС;Номер;"";58.14.19.000;Журналы печатные прочие и периодические издания;147b79503653dfd06794aa64fc34c4f6;643
Перчатки медицинские диагностические одноразовые нестерильные неопудренные   по ТУ 22.19.60-064-00149274-2021   размер M;8.70000000000;Без НДС;Пара (2 шт.);Наружная поверхность текстурированная: Соответствие || Нестерильное изделие, изготовленное из гевейского натурального латекса (НТ) и предназначенное для использования в качестве защитного барьера при ношении на руках медицинских работников во время обследования/лечения пациента или для других санитарных целей  его внутренняя поверхность не покрыта порошком талька. Используется, главным образом, как двухсторонний барьер защиты как пациента, так и персонала от различной контаминации. Изделие должно иметь соответствующие характеристики в отношении осяз: Соответствие || Манжета перчатки закатана в венчик: Соответствие || Размер: M;22.19.60.119;Перчатки резиновые прочие;4d1efca1135e150b4e6744d2804322f3;643
Смесь сушеных фруктов (сухой компот);129.89000000000;Без НДС;Килограмм;Требования к остаточному сроку годности (хранения) товара: Не менее 6 месяцев || Наименование сушеных фруктов: Яблоко;10.39.25.134;Смеси сушеных фруктов (сухой компот);b3cec18f4b754ad19fac85aaf0ee9c85;643
Узел термозакрепления в сборе 126K24993, совместимый для многофункциональных устройств Xerox WorkCentre 5220/5210/5222/5205;21964.35000000000;0%;Штука;"";28.23.25.000;Части и принадлежности прочих офисных машин;faa69a235890b881433cb956820c0985;643
Средство дезинфицирующее Инцидин Про кан. 6 л;11721.60000000000;Без НДС;Штука;"";20.20.14.000;Средства дезинфекционные;889d5124127bfde6455fdf05ca0a76c2;643
Средство дезинфицирующее Лайт-автомат кан. 5;3250.50000000000;Без НДС;Штука;"";20.20.14.000;Средства дезинфекционные;889d5124127bfde6455fdf05ca0a76c2;643
Лук репчатый;32.30000000000;Без НДС;Килограмм;Товарный сорт: Первый || Цвет лука: Желтый || Лук очищенный: Нет;01.13.43.110;Лук репчатый;0b3f3e3bba17405f0801a5332aa7aeaf;643
Рис;69.65000000000;Без НДС;Килограмм;Пропаренный: Нет || Сорт, не ниже: Первый || Способ обработки: Шлифованный || Вид: Цельнозерновой;10.61.1;Рис полуобрушенный или полностью обрушенный, шелушеный или дробленый;1705941ca9103495f7b18242bb945327;643
Горох шлифованный;54.73000000000;Без НДС;Килограмм;Вид зерна: Колотое || Сорт, не ниже: Первый;01.11.75.110;Зерно гороха;1705941ca9103495f7b18242bb945327;643
Детали крепежные и установочные и аналогичные изделия из недрагоценных металлов;46.00910000000;Без НДС;Штука;"";25.72.14.190;Детали крепежные и установочные и аналогичные изделия из недрагоценных металлов;b9125f9677ccbb1a647276953eb1fcbe;643
Крупа манная ГОСТ 7022-2019 (поставка в 2022 г.);43.00000000000;Без НДС;Килограмм;"";21.20.23.193;Средства питания;adb65c673ba1b3d4c90b74afd36fa7df;643
Яйца куриные в скорлупе свежие;8.00000000000;Без НДС;Штука;Категория яйца: Первая || Класс яйца: Столовое;01.47.21.000;Яйца куриные в скорлупе свежие;88d4a81ae11065385031ac9a227bd3d3;643
Крупа гречневая;99.50000000000;Без НДС;Килограмм;Сорт, не ниже: Первый || Вид крупы: Ядрица (непропаренная);10.61.32.113;Крупа гречневая;4e6d32ed4142f0be88e4553539e04590;643
Сервисный комплект Kyocera MK-1150;12661.11000000000;Без НДС;Штука;"";28.23.25.000;Части и принадлежности прочих офисных машин;31e5b22a5eb2f507df886d02ef21e09b;156|392|704|764|203
Картридж Kyocera TK-3190 для печатного устройства Kyocera;9090.63000000000;Без НДС;Штука;"";28.23.25.000;Части и принадлежности прочих офисных машин;31e5b22a5eb2f507df886d02ef21e09b;156|392|704|764|203
Овощи маринованные;107.40000000000;Без НДС;Килограмм;Форма овощей: Целые || Вид изделия: Огурцы маринованные || Дополнительные показатели (характеристики): Дополнительные показатели (характеристики) || Вид овощей: Огурцы || Наличие уксуса, уксусной кислоты: Да;10.39.18.110;Овощи (кроме картофеля), приготовленные или консервированные с уксусом или уксусной кислотой;7d98eade2538b8ad2e105f375c49513f;643
