product_name;price;product_vat_rate;product_msr;product_characteristics;okpd2_code;okpd2_name;inn;country_code
Натрий двууглекислый;"";Без НДС;Тонна метрическая тонна (1000 кг);Описание: Натрий двууглекислый || Массовая доля двууглекислого натрия NaHCO3: 99.5, Процент || Описание: Натрий двууглекислый;20.13.43;Карбонаты;22f5fd1c91e58e210ee693fd834b0ffa;643
Гидрокарбонат натрия. Пищевая добавка E500(ii);"";Без НДС;Тонна метрическая тонна (1000 кг);Описание: Гидрокарбонат натрия. Пищевая добавка E500(ii) || Массовая доля основного вещества, в пересчете на сухую основу NaHCO3: 99, Процент || Тип продукции по ПП РФ 616: Водородкарбонат натрия бикарбонат натрия) || Описание: Гидрокарбонат натрия. Пищевая добавка E500(ii);20.13.43.191;Водородкарбонат натрия (бикарбонат натрия);22f5fd1c91e58e210ee693fd834b0ffa;643
маневровый тепловоз ТЭМ18ДМ;"";Без НДС;Штука;Описание: маневровый тепловоз ТЭМ18ДМ || Мощность тепловоза, кВт: 882 || Осевая формула: 3о-3о || Статическая нагрузка от колесной пары на рельсы, кН(тс): 206 || Служебная масса: 126-3,78*, Тонна метрическая тонна (1000 кг) || Габарит по ГОСТ9238: 1-Т || Сила тяги при трогании, кН: 319 || Конструкционная скорость, м/с(км/ч): 27,8 (100) || Минимальный радиус горизонтальной кривой, проходимой тепловозом, м: 80 || Тип тяговой передачи: Постоянного тока || Длина тепловоза по осям автосцепок, мм: 16900 || Запас топлива, кг: 5400 || Запас песка, кг: 2000 || Описание: маневровый тепловоз ТЭМ18ДМ;30.20.12.120;Тепловозы маневровые и промышленные;21578d9b4a3c742d2a450e89dafe3e54;643
Тепловоз магистральный грузовой двухсекционный 2ТЭ25КМ;"";Без НДС;Секция;Описание: Тепловоз магистральный грузовой двухсекционный 2ТЭ25КМ || Касательная сила тяги длительного режима, кН (тс) (при передаточном отношении тягового редуктора 4,41): 2×323,6 (2×33,0) || Касательная сила тяги при трогании с места, максимальная, кН (тс): 2×419,4 (2×42,77) || Максимальная мощность электрического обдуваемого реостатного тормоза: 2800, Киловатт || Скорость расчетного режима (при передаточном отношении тягового редуктора 4,41) 	, м/с (км/ч): 6,55 (23,6) || Скорость конструкционная м/с (км/ч): 27,8 (100) || Запасы песка: 2х1520, Килограмм || Запасы топлива: 2х7000, Килограмм || Габарит по ГОСТ 9238: 1-Т с нижним очертанием по рисунку 5 || Основные размеры: длина по осям автосцепок, не более 2х20000, Миллиметр || Служебная масса (при 2/3 запаса топлива и песка), не более: 2х144±3%, Тонна метрическая тонна (1000 кг) || Минимальный радиус горизонтальной кривой, проходимой одиночным тепловозом при скорости до 10 км/ч: 125, Метр || Ширина колеи: 1520, Миллиметр || Мощность тепловоза по дизелю (полная): 2х2650, Киловатт || Мощность тепловоза по дизелю: 2×3604, Лошадиная сила || Осевая (колесная) формула: 2×(3о — 3о) || Статическая нагрузка от колесной пары на рельсы, кН (тс), не более: 235,4 (24) || Описание: Тепловоз магистральный грузовой двухсекционный 2ТЭ25КМ;30.20.12.110;Тепловозы магистральные;21578d9b4a3c742d2a450e89dafe3e54;643
Универсальный фронтальный мини-погрузчик с бортовым поворотом ANT 1000.01-06;"";Без НДС;Штука;Описание: Универсальный фронтальный мини-погрузчик с бортовым поворотом ANT 1000.01-06 || Угол подъема, не более: Не более 77 || Грузоподъемность,: 1000, Килограмм || Система холодного запуска: нагревательный модуль во впускном коллекторе   электронагреватель охлаждающей жидкости  автоматический нагреватель фильтра грубой очистки топлива  блок холодного запуска || Система безопасности: fops  rops || Двигатель: kubota v3300 || Электрооборудование: 12, Вольт || Максимальная скорость: 14, Километр в час || Дорожный просвет: 255, Миллиметр || Ширина без ковша: 1895, Миллиметр || Радиус поворота: 2400, Миллиметр || Масса: 3600, Килограмм || Угол подъема: не более 77 || Угол подъема, не более: не более 77 || Тип продукции по ПП РФ 616: Погрузчики с бортовым поворотом колесные || Тип: универсальный фронтальный мини-погрузчик с бортовым поворотом || Тип двигателя: дизельный  четырехцилиндровый  четырехтактный || Высота подъема: 3.539, Метр || Грузоподьемность: 1000, Килограмм || Высота подъема стрелы: 2.788, Метр || Опрокидывающая нагрузка: 2000, Килограмм || Скорость: 14, Километр в час || Высота разгрузки по шарниру: 3640, Миллиметр || Функция выравнивания ковша: гидравлический || Описание: Универсальный фронтальный мини-погрузчик с бортовым поворотом ANT 1000.01-06;28.92.25.000;Погрузчики фронтальные одноковшовые самоходные;23dfc06d1aa3f159711b0833da1310cc;643
СЕЛИТРА АММИАЧНАЯ (NH4NO3) марки А;"";Без НДС;Тонна метрическая тонна (1000 кг);Описание: СЕЛИТРА АММИАЧНАЯ (NH4NO3) марки А || Марка: А || Тип продукции по ПП РФ 616: Нитрат аммония || Описание: СЕЛИТРА АММИАЧНАЯ (NH4NO3) марки А;20.15.33.000;Нитрат аммония;e6397fb883e94e2d476bc84ba0a935a4;643
КАРБАМИД (МОЧЕВИНА) марки А;"";Без НДС;Тонна метрическая тонна (1000 кг);Описание: КАРБАМИД (МОЧЕВИНА) марки А || Гранулометрический состав: не регламентирован, Процент || Марка: А || Массовая доля азота в пересчете на сухое вещество, не менее: 46.2, Процент || Назначение: для промышленности || Тип продукции по ПП РФ 616: Мочевина карбамид) || Гранулометрический состав: не регламентирован, Процент || Рассыпчатость: 100, Процент || Массовая доля воды, не более: гигроскопической 0,3, общей 0,6, Процент || Сорт: Первый сорт || Описание: КАРБАМИД (МОЧЕВИНА) марки А;20.15.31.000;Мочевина (карбамид);e6397fb883e94e2d476bc84ba0a935a4;643
Капролактам кристаллический (C5H10CONH);"";Без НДС;Тонна метрическая тонна (1000 кг);Описание: Капролактам кристаллический (C5H10CONH) || Содержание летучих оснований, моль/кг: 0.4 || Массовая доля циклогексаноноксима: 0.002, Процент || Кислотность: 0.05 || Оптическая плотность раствора капролактама с массовой долей 50%: 0.04 || Массовая доля железа: 200000, Процент || Температура кристаллизации: 68.8, Градус Цельсия || Щелочность: 0.1 || Перманганатный индекс: 4, Единица || Описание: капролактам кристаллический -материал, используемый для производства волокон и нитей из полиамида 6, используемый в текстительной и других отраслях промышленности || Тип продукции по ПП РФ 616: Соединения гетероциклические, не включенные в другие группировки || Цветность водного раствора капролактама с массовой долей 50%: 3, Единица || Описание: Капролактам кристаллический (C5H10CONH);20.14.52.110;Соединения гетероциклические, не включенные в другие группировки;e6397fb883e94e2d476bc84ba0a935a4;643
Передвижная контейнерная насосная  установка  ПНУ 120/300;"";Без НДС;Кубический метр в час;Описание: Передвижная контейнерная насосная  установка  ПНУ 120/300 || Максимальная потребляемая мощность насоса во всём рабочем диапазоне подач, при частоте вращения вала насоса 3400 об/мин, не более: 160, Киловатт || Подпорный электронасос: УОДНс-240-175-150-55-Т || Тип: передвижной самоходный || Транспортная база: шасси санного типа (или контейнер) || Насос основной: НН 120/300-240/150 || Подача номинальная при последовательном (параллельном) включении групп ступеней: 120(240), Кубический метр в час || Напор номинальный при последовательном (параллельном) включении групп ступеней: 290 (140), Метр || Частота вращения ротора номинальная: 3400, Оборот в минуту || Привод основного насоса: силовая установка || Описание: Передвижная контейнерная насосная  установка  ПНУ 120/300;28.13.14.190;Насосы прочие;2c4a381ba76250558d6a55c2ec2eade2;""
Тест-полоски для определения уровня глюкозы в крови Gmate Life 50шт;500;10%;Дюжина упаковок;Описание: Тест-полоски для определения уровня глюкозы в крови Gmate Life 50шт || Исполнение: Тест-полоска || Исследуемый материал: Цельная кровь || Количество штук в упаковке: 50, Штука || Назначение: Для анализатора (глюкометра) Gmate Life || Описание: Тест-полоски для определения уровня глюкозы в крови Gmate Life 50шт;21.20.23.110;Реагенты диагностические;f2633b5d28725ddcf685b629d75c9a40;643
Погрузчик малогабаритный с бортовым поворотом МКСМ 800НМ (и его модификации 1000НМ);"";Без НДС;Штука;Описание: Погрузчик малогабаритный с бортовым поворотом МКСМ 800НМ (и его модификации 1000НМ) || Тип: Погрузчик малогабаритный с бортовым поворотом || Тип продукции по ПП РФ 616: Погрузчики фронтальные одноковшовые самоходные || Скорость: 12, Километр в час || Тип двигателя: Дизельный, четырехтактный, трехцилиндровый, воздушного охлаждения || Описание: Погрузчик малогабаритный с бортовым поворотом МКСМ 800НМ (и его модификации 1000НМ);28.92.25.000;Погрузчики фронтальные одноковшовые самоходные;b9908b4bbd242187b1260b14c9fc53e9;643
Машина коммунально-строительная многоцелевая МКСМ-800Н (и ее модификации МКСМ-1000Н);"";Без НДС;Штука;Описание: Машина коммунально-строительная многоцелевая МКСМ-800Н (и ее модификации МКСМ-1000Н) || Тип: погрузчики фронтальные одноковшовые самоходные || Тип продукции по ПП РФ 616: Погрузчики фронтальные одноковшовые самоходные || Мощность двигателя: 53, Лошадиная сила || Скорость: 10, Километр в час || Тип двигателя: Четырехтактный дизель с непосредственным выпрыском топлива, жидкостного охлаждения || Описание: Машина коммунально-строительная многоцелевая МКСМ-800Н (и ее модификации МКСМ-1000Н);28.92.25.000;Погрузчики фронтальные одноковшовые самоходные;b9908b4bbd242187b1260b14c9fc53e9;643
Облучатель фототерапевтический неонатальный ОФН-02-«УОМЗ»;"";Без НДС;Штука;Описание: Облучатель фототерапевтический неонатальный ОФН-02-«УОМЗ» || Срок службы: 5, Год || Эффективная площадь излучения: 300х220 мм || Напряжение питания: 220, Вольт || Потребляемая мощность: 30, Вольт-ампер || Марка: офн-02 || Описание: Облучатель фототерапевтический неонатальный ОФН-02-«УОМЗ»;26.60.13.180;Аппараты светолечения;cce0eaa4cc4cb661fd0e5a1b32e1d178;643
Тахеометр электронный 6Та3;"";Без НДС;Штука;Описание: Тахеометр электронный 6Та3 || Карта памяти SD/MMC: 2 || Время измерения углов и наклоннного расстояния: 1, Секунда || Увеличение зрительной трубы: 30 || Средняя квадратичная погрешность измерения вертикального и горизонтального углов: 3 || Время работы от одного аккумулятора: 20, Час || Минимальное расстояние визирования: 1.7 || Объем внутренней памяти: 1, Мегабайт || Описание: Тахеометр электронный 6Та3;26.51.12.110;Дальномеры, теодолиты и тахиметры (тахеометры);cce0eaa4cc4cb661fd0e5a1b32e1d178;643
Тахеометр электронный 6Та2;"";Без НДС;Штука;Описание: Тахеометр электронный 6Та2 || Средняя квадратичная погрешность измерения вертикального и горизонтального углов: 2 || Карта памяти SD/MMC: 2 || Время измерения углов и наклоннного расстояния: 1, Секунда || Увеличение зрительной трубы: 30 || Объем внутренней памяти: 1, Мегабайт || Минимальное расстояние визирования: 1.7 || Время работы от одного аккумулятора: 20, Час || Описание: Тахеометр электронный 6Та2;26.51.12.110;Дальномеры, теодолиты и тахиметры (тахеометры);cce0eaa4cc4cb661fd0e5a1b32e1d178;643
Соединитель 2РТТ (вилка);"";Без НДС;Штука;Описание: Соединитель 2РТТ (вилка) || Количество сочленений-расчленений: 500 || Номинальное напряжение: 850, Вольт || Описание: Соединитель 2РТТ (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель ШР (вилка);"";Без НДС;Штука;Описание: Соединитель ШР (вилка) || Номинальное напряжение: 850, Вольт || Количество сочленений-расчленений: 500 || Описание: Соединитель ШР (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СШР (вилка);"";Без НДС;Штука;Описание: Соединитель СШР (вилка) || Номинальное напряжение: 850, Вольт || Количество сочленений-расчленений: 500 || Описание: Соединитель СШР (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СШРГ (вилка);"";Без НДС;Штука;Описание: Соединитель СШРГ (вилка) || Количество сочленений-расчленений: 500 || Номинальное напряжение: 850, Вольт || Описание: Соединитель СШРГ (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РРН29 (вилка);"";Без НДС;Штука;Описание: Соединитель РРН29 (вилка) || Максимальный рабочий ток на контакт: 20, Ампер || Количество контактов: 4 || Номинальное напряжение: 200, Вольт || Количество сочленений-расчленений: 250 || Описание: Соединитель РРН29 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РРН30 (вилка);"";Без НДС;Штука;Описание: Соединитель РРН30 (вилка) || Количество сочленений-расчленений: 250 || Максимальный рабочий ток на контакт: 20, Ампер || Номинальное напряжение: 200, Вольт || Количество контактов: 4 || Описание: Соединитель РРН30 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель 4РТ (вилка);"";Без НДС;Штука;Описание: Соединитель 4РТ (вилка) || Количество сочленений-расчленений: 500 || Номинальное напряжение: 850, Вольт || Максимальный рабочий ток на контакт: 30, Ампер || Описание: Соединитель 4РТ (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СНЦ3М (вилка);"";Без НДС;Штука;Описание: Соединитель СНЦ3М (вилка) || Количество сочленений-расчленений: 100 || Номинальное напряжение: 535, Вольт || Описание: Соединитель СНЦ3М (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РБН1 (вилка);"";Без НДС;Штука;Описание: Соединитель РБН1 (вилка) || Количество сочленений-расчленений: 1000 || Номинальное напряжение: 700, Вольт || Описание: Соединитель РБН1 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РБН2 (вилка);"";Без НДС;Штука;Описание: Соединитель РБН2 (вилка) || Количество сочленений-расчленений: 1500 || Номинальное напряжение: 500, Вольт || Описание: Соединитель РБН2 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СШК8, СШЩ8, СШН8 (вилка);"";Без НДС;Штука;Описание: Соединитель СШК8, СШЩ8, СШН8 (вилка) || Номинальное напряжение: 540, Вольт || Количество сочленений-расчленений: 1000 || Описание: Соединитель СШК8, СШЩ8, СШН8 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РРМ46, РРМ46Г (вилка);"";Без НДС;Штука;Описание: Соединитель РРМ46, РРМ46Г (вилка) || Количество сочленений-расчленений: 500 || Максимальный рабочий ток на контакт: 1.5, Ампер || Номинальное напряжение: 100, Вольт || Количество контактов: 102 || Описание: Соединитель РРМ46, РРМ46Г (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РРМ47, РРМ47Г (вилка);"";Без НДС;Штука;Описание: Соединитель РРМ47, РРМ47Г (вилка) || Количество сочленений-расчленений: 500 || Количество контактов: 102 || Номинальное напряжение: 200, Вольт || Максимальный рабочий ток на контакт: 3.5, Ампер || Описание: Соединитель РРМ47, РРМ47Г (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РРН26М (розетка);"";Без НДС;Штука;Описание: Соединитель РРН26М (розетка) || Количество сочленений-расчленений: 500 || Номинальное напряжение: 500, Вольт || Максимальный рабочий ток на контакт: 1, Ампер || Описание: Соединитель РРН26М (розетка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РРН25М (вилка);"";Без НДС;Штука;Описание: Соединитель РРН25М (вилка) || Максимальный рабочий ток на контакт: 0.001, Ампер || Номинальное напряжение: 0.05, Вольт || Количество сочленений-расчленений: 200 || Описание: Соединитель РРН25М (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РБМ4, РБМ5 (вилка);"";Без НДС;Штука;Описание: Соединитель РБМ4, РБМ5 (вилка) || Номинальное напряжение: 700, Вольт || Количество сочленений-расчленений: 1000 || Описание: Соединитель РБМ4, РБМ5 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель 2РМТ (вилка);"";Без НДС;Штука;Описание: Соединитель 2РМТ (вилка) || Количество сочленений-расчленений: 500 || Номинальное напряжение: 700, Вольт || Описание: Соединитель 2РМТ (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель 2РМДТ (вилка);"";Без НДС;Штука;Описание: Соединитель 2РМДТ (вилка) || Номинальное напряжение: 700, Вольт || Количество сочленений-расчленений: 500 || Описание: Соединитель 2РМДТ (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель РМГ (вилка);"";Без НДС;Штука;Описание: Соединитель РМГ (вилка) || Количество сочленений-расчленений: 500 || Номинальное напряжение: 700, Вольт || Описание: Соединитель РМГ (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель 2РМП (вилка);"";Без НДС;Штука;Описание: Соединитель 2РМП (вилка) || Номинальное напряжение: 700, Вольт || Количество сочленений-расчленений: 500 || Описание: Соединитель 2РМП (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель ОНЦ-РГ-09 (вилка);"";Без НДС;Штука;Описание: Соединитель ОНЦ-РГ-09 (вилка) || Номинальное напряжение: 500, Вольт || Максимальный рабочий ток на контакт: 15, Ампер || Количество сочленений-расчленений: 500 || Описание: Соединитель ОНЦ-РГ-09 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СНЦ23 (вилка);"";Без НДС;Штука;Описание: Соединитель СНЦ23 (вилка) || Номинальное напряжение: 700, Вольт || Количество сочленений-расчленений: 500 || Описание: Соединитель СНЦ23 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
Соединитель СНЦ233 (вилка);"";Без НДС;Штука;Описание: Соединитель СНЦ233 (вилка) || Номинальное напряжение: 700, Вольт || Количество сочленений-расчленений: 500 || Описание: Соединитель СНЦ233 (вилка);27.33.13.120;Соединители электрические, зажимы контактные, наборы зажимов;95366ec898dc43e5adde838083f92646;643
