product_name;price;product_vat_rate;product_msr;product_characteristics;okpd2_code;okpd2_name;inn;country_code
Мешки для мусора 240 л, черные, ПВД, 100 мкм, 90х135 см, особо прочные, КОНЦЕПЦИЯ БЫТА;24.22;20%;Штука;Объем: 240.0л дм[3*] || Вид материала: ПВД || Длина: 135см || Количество в упаковке: 10.0шт || Наличие ароматизатора: Нет || Наличие ручек (завязок): Нет || Признак биоразлагаемости: Нет || Прочность: особо прочные || Тип дна: плоское || Толщина, мкм: 100.0 || Упаковка: рулон || Цвет: черный || Ширина: 90см || Описание: Мешки для мусора 240 л, черные, ПВД, 100 мкм, 90х135 см, особо прочные, КОНЦЕПЦИЯ БЫТА;22.22.1;Изделия пластмассовые упаковочные;8862f4d4ee368febd5fac195c84f8dde;""
Степ платформа;4340.98;Без НДС;Штука;Описание: Степ платформа || Виды товаров спортивных: Спортивное оборудование и инвентарь || Высота платформы с уровнями: 200мм || Длина: 760мм || Количество уровней: 3 || Максимальная нагрузка: 150кг || Ширина: 280мм || Материал: пластик || Вес: 3.0кг || Вид продукции: Товары || Вид товаров: Для спорта и отдыха || Виды оборудования и инвентаря для гимнастики (спортивной, художественной, спортивной аэробики, шейпинга): Степ платформы || Виды спортивного оборудования и инвентаря: Оборудование и инвентарь для гимнастики (спортивной, художественной, спортивной аэробики, шейпинга);32.30.14.129;Оборудование для занятий физкультурой, гимнастикой и атлетикой, занятий в спортзалах, фитнес-центрах прочее, не включенное в другие группировки;605fc8ce2b603efc77cefa563781105f;156
Скобы для степлера;114.0;Без НДС;Штука;Описание: Скобы для степлера || Количество в упаковке: 1000шт || Вид товаров: Офисные принадлежности || Вид продукции: Товары || Вид покрытия: оцинкованное || Вид офисных принадлежностей: Степлеры, антистеплеры || Торговая марка: Berlingo || Расходные материалы: Да || Размер скоб: 23/10;25.99.23.000;Детали для скоросшивателей или папок, канцелярские зажимы и аналогичные канцелярские изделия и скобы в виде полос из недрагоценных металлов;766fe416835260900f67379de663439c;""
Эмаль Vika МЛ-1110 Апельсин Камаз 0,8 кг;709.0;Без НДС;Штука;Тип краски: Однокомпонентная синтетическая эмаль, меламиноалкидная || Цвет: Апельсин Камаз || Вес краски в заводской металлической таре: 0.8кг || Время сушки при 130 градусах цельсия: 30мин || Время сушки при 80 градусах цельсия с отвердителем: 60мин || Вязкость при 20 градусах цельсия по вз-4 (din cup 4): 20 – 22с || Упаковка: Заводская металлическая банка || Поверхности нанесения: Старые лакокрасочные покрытия, крашенные данным типом автоэмали (МЛ-1110, МЛ-12), загрунтованные и зашпатлеванные поверхности || Применение: Для окраски кузова транспортных средств || Пропорции смешивания: автоэмаль мл 1110: отвердитель изур-021/оэм-3: растворители 647, 646, 650/разбавитель сольвент: 1: 10 – 15%: до 30% || Торговая марка: VIKA || Описание: Эмаль Vika МЛ-1110 Апельсин Камаз 0,8 кг;29.32.30.390;Части и принадлежности для автотранспортных средств прочие, не включенные в другие группировки;71b52ca820c667fb8cebd3fcf362ac79;643
Средство дезинфицирующее Део-бактер 1л;499.0;20%;Флакон;Объем: 1л дм[3*] || Действующие вещества: ЧАС (алкилдеметилбензиламмоний хлорид), функциональные компоненты. || Форма выпуска: Концентрат || Срок годности рабочих растворов: 14сут дн || Срок годности: 5г лет || Свойства: бактерицидные в отношении грамотрицательных и грамположительных бактерий (включая возбудителей туберкулеза, внутрибольничных инфекций)  • вирулицидные (тестировано на штамме вируса полиомиелита 1 типа)  • фунгицидные (в отношении возбудителей кандидоза и трихофитии и плесневых грибов, в том числе Aspergillus niger, Mucor spp.). || Назначение: • проведение текущей и заключительной дезинфекции в ЛПО любого профиля (в т.ч. в отделениях неонатологии, акушерско-гинекологических стационарах, хирургических, педиатрических учреждениях, инфекционных отделениях и др.)  • дезинфекция обеззараживание и мытье: поверхностей в помещениях, предметов ухода за больными, кувезов, белья, столовой посуды, игрушек, санитарно-технического оборудования, обуви, аптечной и лабораторной посуды, уборочного инвентаря и др  • обеззараживание медицинских отходов класса Б и В (в т.ч инфекционных, кроме отделений особо опасных инфекций), ИМН однократного применения перед их утилизацией  • обеззараживание крови на поверхностях и объектах  • обеззараживание ИМН, в том числе хирургических и стоматологических инструментов  • Предстерилизационная очистка, совмещенная и не совмещенная с дезинфекцией ИМН (включая стоматологические инструменты), инструментов к эндоскопам, эндоскопов ручным и механизированным способом  • генеральная уборка в ЛПО любого профиля и т.д.  • разрешен для обработки кувезов для недоношенных детей. || Описание: Средство дезинфицирующее Део-бактер 1л;20.20.14.000;Средства дезинфекционные;c2c3bea3f9fe8262cea420f1b6d3772b;""
Бур Cross Max 35*420*570 SDS-max Espira;6641.45;20%;Штука;Диаметр: 35.0мм || Длина общая: 570.0мм || Наконечник бура: крестообразный с твердосплавными пластинами || Применение: Для сверления отверстий в бетоне, армированном бетоне, блоках || Рабочая длина: 420.0мм || Тип хвостовика бура: SDS MAX || Описание: Бур Cross Max 35*420*570 SDS-max Espira;25.73.40.111;Сверла из быстрорежущей стали;98ab62ea5da91ac00679cf15d0880b26;""
ДЕНТИС универсальный стеклоиономерный цемент;1980.0;10%;Упаковка;Состав порошка: состоящий из смеси алюмофторсиликатного стекла и полиакриловой кислоты. || Характеристики: Пломбы из цемента ДЕНТИС:  рентгеноконтрастны  не имеют краевой проницаемости  обладают противокариозным эффектом  отличаются стойкостью к кислотной эрозии  отличаются стойкостью к влаге на начальных этапах отверждения  не требуют покрытия защитным лаком. || Вес порошка: 8г || Жидкость кондиционер: 5см[3*] мл || Комплект: 3шт || Назначение: восстановления полостей зубов III, V классов  подкладки при пломбировании композитами и амальгамой  пломбирования полостей I и II классов молочных зубов  временного пломбирования  пломбирования при кариесе корневого дентина. || Наименование: ДЕНТИС универсальный стеклоиономерный цемент || Свойства: характеризуется высокой прочностью при сжатии (180 МПа) и высокой стойкостью к кислотной эрозии. Обладает хорошей биологической совместимостью с тканями зуба. || Описание: ДЕНТИС универсальный стеклоиономерный цемент;32.50;Инструменты и оборудование медицинские;fe709d55ba695587b7a3e1da7385b164;""
ЗдравДез-антисептик, 1л. (крышка);269.0;20%;Штука;Описание: ЗдравДез-антисептик, 1л. (крышка) || Объем: 1л дм[3*] || Содержит в составе: ООО Базовая дезинфекция || Тип дозатора: False || Форма выпуска средства: жидкость;20.20.14.000;Средства дезинфекционные;c2c3bea3f9fe8262cea420f1b6d3772b;643
Фильтр ФВКас-592-290-48-G4;493.48;0%;Штука;Описание: Фильтр ФВКас-592-290-48-G4 || Высота: 290.0мм || Класс очистки: G4 || Толщина рамки: 48мм || Ширина: 592.0мм;28.25.14.111;Фильтры для очистки воздуха;c3f1a2a63f07ebf80383ec8e5e95d07f;643
Мини-валик;106.04;20%;Штука;Описание: Мини-валик || Вид инвентарь, инструменты: Инструмент ручной || Вид инженерно-строительные товары: Инвентарь, инструменты || Вид малярного инструмента: Валики малярные || Вид продукции: Товары || Вид ручного инструмента: Инструмент ручной малярный || Вид товаров: Инженерно-строительные товары || Высота ворса: 4мм || Диаметр: 15мм || Диаметр бюгеля: 6мм || Длина: 60мм || Материал рукоятки: пластик || Материал шубки : велюр || Особенности: ручка в комплекте || Применение: Все виды ЛКМ;25.73.30;Инструмент ручной прочий;fbe5b229b747f961f0ae8d8fa9bd5ca7;""
